seqnames,start,end,width,strand,Conc,Conc_E50h,Conc_GM3D,Fold,p.value,FDR,feature_id,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,distanceToTSS
1,13457007,13457543,537,*,8.9,9.8,5.93,3.87,2.8899999999999997e-105,3.5299999999999993e-102,E50h_GM3D_3219,Promoter (<=1kb),1,13454496,13456331,1836,2,AT1G36060,-676
3,20720386,20721907,1522,*,10.39,11.11,8.92,2.19,5.1599999999999986e-104,6.019999999999998e-101,E50h_GM3D_15140,Promoter (1-2kb),3,20716995,20718866,1872,2,AT3G55840,-1520
2,537557,538951,1395,*,9.43,10.25,7.34,2.9,5.919999999999998e-104,6.609999999999999e-101,E50h_GM3D_6870,Promoter (<=1kb),2,538250,539055,806,1,AT2G02120,0
3,8757924,8758559,636,*,8.91,9.82,5.9,3.92,7.109999999999997e-104,7.599999999999999e-101,E50h_GM3D_13135,Promoter (1-2kb),3,8759713,8759814,102,2,AT3G24216,1255
1,20495333,20497989,2657,*,10.03,10.77,8.45,2.32,2.45e-103,2.51e-100,E50h_GM3D_4230,Promoter (1-2kb),1,20493749,20494834,1086,1,AT1G54955,1584
1,8675289,8676653,1365,*,10.12,10.87,8.49,2.38,1.0099999999999997e-102,9.999999999999996e-100,E50h_GM3D_2119,Promoter (<=1kb),1,8676360,8677159,800,2,AT1G24480,506
4,6743008,6745222,2215,*,10.78,11.46,9.44,2.01,1.7799999999999997e-101,1.6999999999999997e-98,E50h_GM3D_16723,Promoter (<=1kb),4,6745100,6746944,1845,1,AT4G11040,0
5,14107240,14108548,1309,*,8.95,9.83,6.38,3.45,9.349999999999998e-100,8.569999999999999e-97,E50h_GM3D_22455,Promoter (1-2kb),5,14108524,14110536,2013,2,AT5G35960,1988
2,9206962,9208352,1391,*,9.75,10.55,7.85,2.7,1.8499999999999993e-99,1.6299999999999996e-96,E50h_GM3D_8187,Promoter (<=1kb),2,9206016,9207125,1110,2,AT2G21490,0
5,8597613,8598473,861,*,8.96,9.83,6.35,3.48,1.0799999999999998e-98,9.199999999999997e-96,E50h_GM3D_21889,Promoter (<=1kb),5,8595209,8597761,2553,2,AT5G24950,0
3,16787518,16790095,2578,*,10.96,11.62,9.71,1.9,1.64e-97,1.3599999999999997e-94,E50h_GM3D_14165,Promoter (<=1kb),3,16789980,16790582,603,1,AT3G45730,0
4,13510717,13512045,1329,*,9.9,10.63,8.34,2.29,1.0099999999999998e-95,8.089999999999999e-93,E50h_GM3D_18420,Promoter (<=1kb),4,13511839,13513406,1568,1,AT4G26890,0
3,5029444,5030347,904,*,9.13,9.97,6.93,3.03,1.4399999999999998e-94,1.12e-91,E50h_GM3D_12200,Promoter (2-3kb),3,5030216,5032892,2677,2,AT3G14950,2545
5,18591139,18592471,1333,*,9.36,10.22,6.9,3.32,9.629999999999998e-94,7.27e-91,E50h_GM3D_23426,Promoter (<=1kb),5,18589482,18591400,1919,2,AT5G45830,0
2,12192606,12193281,676,*,9.1,9.93,6.92,3.01,1.0099999999999998e-92,7.399999999999999e-90,E50h_GM3D_8976,Distal Intergenic,2,12196406,12196552,147,1,AT2G28507,-3125
1,1996073,1998685,2613,*,10.13,10.82,8.75,2.07,2.57e-91,1.8299999999999995e-88,E50h_GM3D_477,Promoter (<=1kb),1,1993978,1996112,2135,2,AT1G06520,0
1,25676953,25678440,1488,*,10.18,10.88,8.78,2.1,4.15e-91,2.8799999999999995e-88,E50h_GM3D_5457,Promoter (<=1kb),1,25676395,25678288,1894,2,AT1G68470,0
1,358574,359193,620,*,8.68,9.59,5.59,4,6.869999999999999e-91,4.6399999999999993e-88,E50h_GM3D_102,Promoter (<=1kb),1,358104,359078,975,2,AT1G02040,0
3,16081857,16082861,1005,*,9.3,10.09,7.38,2.72,1.4999999999999997e-90,9.879999999999999e-88,E50h_GM3D_14039,Promoter (<=1kb),3,16079976,16081906,1931,2,AT3G44460,0
3,5033235,5034542,1308,*,9.65,10.42,7.93,2.49,2.16e-90,1.3899999999999996e-87,E50h_GM3D_12201,Promoter (<=1kb),3,5030216,5032892,2677,2,AT3G14950,-343
3,9720837,9722436,1600,*,10.24,8.71,10.97,-2.26,1.3099999999999996e-89,8.199999999999997e-87,E50h_GM3D_13377,Promoter (1-2kb),3,9722443,9723815,1373,2,AT3G26520,1379
3,6760931,6761959,1029,*,9.78,10.52,8.2,2.32,1.7899999999999996e-89,1.09e-86,E50h_GM3D_12648,Promoter (<=1kb),3,6759016,6760939,1924,2,AT3G19500,0
5,2246068,2248382,2315,*,10.62,11.27,9.44,1.83,2.5099999999999992e-89,1.4999999999999999e-86,E50h_GM3D_20317,Promoter (<=1kb),5,2243553,2245339,1787,2,AT5G07200,-729
3,11215691,11216685,995,*,9.18,10.01,7.04,2.97,7.389999999999998e-87,4.309999999999999e-84,E50h_GM3D_13723,Promoter (<=1kb),3,11215952,11216866,915,2,AT3G29260,181
3,12589175,12590396,1222,*,9.24,10.05,7.18,2.87,3.2099999999999995e-86,1.8299999999999997e-83,E50h_GM3D_13851,Promoter (<=1kb),3,12588452,12589026,575,2,AT3G30840,-149
2,9890130,9890926,797,*,8.59,9.48,5.79,3.69,1.3499999999999998e-85,7.539999999999999e-83,E50h_GM3D_8370,Promoter (1-2kb),2,9892716,9895400,2685,1,AT2G23230,-1790
4,10511087,10512900,1814,*,10.25,8.69,10.98,-2.29,3.0199999999999995e-85,1.6499999999999995e-82,E50h_GM3D_17680,Promoter (2-3kb),4,10505266,10508121,2856,2,AT4G19220,-2966
1,25705974,25706971,998,*,9.16,9.96,7.21,2.75,3.1599999999999993e-85,1.6899999999999995e-82,E50h_GM3D_5471,Promoter (<=1kb),1,25706882,25708255,1374,1,AT1G68510,0
1,17779842,17780719,878,*,9.74,10.52,7.87,2.65,5.219999999999999e-85,2.7399999999999995e-82,E50h_GM3D_3613,Promoter (<=1kb),1,17773688,17779955,6268,2,AT1G48120,0
4,3659216,3660128,913,*,8.63,9.53,5.77,3.76,5.329999999999999e-84,2.7399999999999997e-81,E50h_GM3D_16394,Promoter (2-3kb),4,3656668,3657409,742,1,AT4G06635,2548
3,23296920,23297580,661,*,8.73,9.62,5.99,3.63,6.559999999999999e-84,3.2999999999999994e-81,E50h_GM3D_15783,Promoter (<=1kb),3,23296572,23297225,654,2,AT3G63040,0
1,12850257,12852633,2377,*,10.58,11.2,9.46,1.74,1.2999999999999997e-83,6.419999999999999e-81,E50h_GM3D_3126,Promoter (<=1kb),1,12851997,12853128,1132,1,AT1G35140,0
2,11382537,11383407,871,*,9.92,10.69,8.13,2.56,2.8099999999999994e-81,1.36e-78,E50h_GM3D_8770,Promoter (1-2kb),2,11384782,11385402,621,1,AT2G26720,-1375
5,26025945,26026505,561,*,9.06,9.92,6.6,3.32,9.799999999999999e-81,4.659999999999999e-78,E50h_GM3D_25396,Distal Intergenic,5,26030100,26031003,904,1,AT5G65158,-3595
3,10242469,10243974,1506,*,9.83,10.55,8.34,2.21,3.2899999999999997e-80,1.5399999999999998e-77,E50h_GM3D_13507,Promoter (<=1kb),3,10243755,10245023,1269,1,AT3G27660,0
5,26018334,26019593,1260,*,10.02,10.7,8.68,2.01,5.0799999999999996e-80,2.33e-77,E50h_GM3D_25392,Promoter (<=1kb),5,26017403,26018236,834,1,AT5G65130,931
3,11920278,11921227,950,*,9.46,10.23,7.72,2.51,7.55e-80,3.3999999999999994e-77,E50h_GM3D_13810,Promoter (<=1kb),3,11917230,11919546,2317,2,AT3G30290,-732
2,14353067,14354250,1184,*,8.54,6.04,9.4,-3.36,1.5799999999999998e-79,6.899999999999999e-77,E50h_GM3D_9547,Promoter (<=1kb),2,14353143,14353214,72,1,AT2G33920,0
1,28966799,28967884,1086,*,9.19,9.98,7.34,2.64,1.5899999999999997e-79,6.899999999999999e-77,E50h_GM3D_6359,Promoter (<=1kb),1,28965772,28967066,1295,2,AT1G77100,0
2,12342463,12343783,1321,*,9.32,10.12,7.36,2.76,7.849999999999999e-79,3.359999999999999e-76,E50h_GM3D_9025,Promoter (<=1kb),2,12340034,12343421,3388,2,AT2G28780,0
1,17285593,17287553,1961,*,10.34,9.05,11.01,-1.97,1.0799999999999998e-78,4.5699999999999993e-76,E50h_GM3D_3507,Promoter (<=1kb),1,17282825,17285670,2846,2,AT1G47128,0
2,12787561,12790224,2664,*,11.05,11.68,9.91,1.78,1.6099999999999997e-78,6.689999999999999e-76,E50h_GM3D_9126,Promoter (2-3kb),2,12781591,12785053,3463,2,AT2G29980,-2508
5,15229189,15229976,788,*,8.62,9.49,5.99,3.5,1.8199999999999997e-78,7.429999999999998e-76,E50h_GM3D_22615,Promoter (<=1kb),5,15229810,15230243,434,1,AT5G38180,0
1,24182869,24184200,1332,*,9.04,9.83,7.1,2.73,3.0699999999999994e-78,1.2299999999999998e-75,E50h_GM3D_5094,Promoter (<=1kb),1,24180830,24183300,2471,2,AT1G65090,0
5,17912861,17914081,1221,*,8.91,6.92,9.72,-2.81,6.709999999999999e-78,2.65e-75,E50h_GM3D_23276,Promoter (<=1kb),5,17910557,17912312,1756,2,AT5G44440,-549
4,16728554,16729247,694,*,9.3,10.09,7.42,2.67,1.07e-77,4.1599999999999995e-75,E50h_GM3D_19216,Promoter (<=1kb),4,16726948,16728531,1584,2,AT4G35150,-23
5,22238475,22239630,1156,*,8.77,9.61,6.53,3.08,1.3199999999999997e-77,5.059999999999999e-75,E50h_GM3D_24393,Promoter (<=1kb),5,22238358,22239187,830,2,AT5G54740,0
4,16211484,16213261,1778,*,9.9,10.6,8.46,2.14,1.6199999999999999e-77,6.109999999999999e-75,E50h_GM3D_19072,Promoter (<=1kb),4,16210009,16211409,1401,2,AT4G33800,-75
1,27934232,27935605,1374,*,9.61,10.33,8.09,2.24,2.6599999999999995e-77,9.9e-75,E50h_GM3D_6077,Promoter (<=1kb),1,27935298,27936608,1311,1,AT1G74300,0
2,8100600,8101418,819,*,8.47,9.35,5.76,3.6,2.9999999999999998e-77,1.0999999999999999e-74,E50h_GM3D_7911,Distal Intergenic,2,8097420,8098827,1408,1,AT2G18690,3180
1,16664355,16665230,876,*,8.72,9.56,6.46,3.1,3.3399999999999996e-77,1.2099999999999997e-74,E50h_GM3D_3373,Promoter (<=1kb),1,16661000,16664004,3005,2,AT1G43930,-351
4,13606321,13607373,1053,*,9.53,10.27,7.96,2.31,4.0299999999999996e-77,1.4399999999999996e-74,E50h_GM3D_18438,Promoter (<=1kb),4,13604558,13606448,1891,2,AT4G27130,0
1,1310341,1311402,1062,*,9.52,10.25,7.92,2.33,6.999999999999999e-77,2.4599999999999993e-74,E50h_GM3D_335,Promoter (<=1kb),1,1310430,1310579,150,2,AT1G04684,0
2,5851567,5852647,1081,*,8.78,9.62,6.59,3.03,1.7399999999999996e-76,6.0399999999999984e-74,E50h_GM3D_7472,Promoter (<=1kb),2,5852759,5857264,4506,1,AT2G13940,-112
1,10576558,10577425,868,*,9.35,10.1,7.72,2.38,9.929999999999998e-76,3.3999999999999996e-73,E50h_GM3D_2607,Distal Intergenic,1,10581735,10584080,2346,1,AT1G30110,-4310
5,18592575,18593261,687,*,8.7,9.54,6.46,3.08,1.18e-75,3.9899999999999995e-73,E50h_GM3D_23427,Promoter (1-2kb),5,18589482,18591400,1919,2,AT5G45830,-1175
4,13609030,13609504,475,*,8.29,9.23,4.77,4.46,1.2999999999999998e-75,4.3299999999999996e-73,E50h_GM3D_18439,Promoter (<=1kb),4,13609341,13610075,735,1,AT4G27150,0
2,7186970,7188617,1648,*,9.99,10.65,8.71,1.94,1.9299999999999997e-75,6.35e-73,E50h_GM3D_7672,Promoter (<=1kb),2,7184422,7186968,2547,2,AT2G16580,-2
5,26193153,26194092,940,*,9.6,10.34,8.01,2.33,2.1099999999999997e-75,6.849999999999999e-73,E50h_GM3D_25446,Promoter (<=1kb),5,26190592,26193106,2515,2,AT5G65530,-47
5,17758123,17760438,2316,*,10.95,11.53,9.96,1.57,2.5e-75,8.009999999999999e-73,E50h_GM3D_23234,Promoter (<=1kb),5,17756264,17758288,2025,2,AT5G44120,0
1,25390804,25391738,935,*,9.73,10.47,8.15,2.31,9.989999999999998e-75,3.169999999999999e-72,E50h_GM3D_5374,Promoter (<=1kb),1,25391460,25393610,2151,1,AT1G67730,0
5,25579297,25580280,984,*,8.62,9.46,6.33,3.13,4.029999999999999e-74,1.2599999999999999e-71,E50h_GM3D_25267,Promoter (2-3kb),5,25583006,25586499,3494,1,AT5G63930,-2726
2,11712257,11713661,1405,*,9.15,9.93,7.34,2.58,5.429999999999999e-74,1.6799999999999997e-71,E50h_GM3D_8832,Promoter (<=1kb),2,11713411,11715696,2286,1,AT2G27380,0
1,28315250,28317052,1803,*,10.25,10.87,9.11,1.77,1.69e-73,5.1599999999999995e-71,E50h_GM3D_6172,Promoter (1-2kb),1,28314458,28318375,3918,2,AT1G75450,1323
3,4508574,4511149,2576,*,10.81,11.43,9.71,1.73,2.4299999999999997e-73,7.329999999999998e-71,E50h_GM3D_12063,Promoter (<=1kb),3,4510965,4516298,5334,1,AT3G13750,0
3,22822561,22823522,962,*,9.92,10.6,8.63,1.96,6.599999999999999e-73,1.9699999999999997e-70,E50h_GM3D_15654,Promoter (<=1kb),3,22823243,22823476,234,2,AT3G61678,0
3,15974704,15975559,856,*,8.87,9.7,6.72,2.97,1.4299999999999997e-72,4.229999999999999e-70,E50h_GM3D_14011,Promoter (<=1kb),3,15972909,15975183,2275,2,AT3G44290,0
1,18120945,18121590,646,*,8.48,9.34,6.05,3.29,2.3999999999999996e-72,6.99e-70,E50h_GM3D_3701,Promoter (<=1kb),1,18121434,18122155,722,1,AT1G48990,0
4,8791785,8792336,552,*,9.11,9.92,7.11,2.8,3.1799999999999995e-72,9.159999999999998e-70,E50h_GM3D_17236,Promoter (1-2kb),4,8792812,8794293,1482,2,AT4G15390,1957
4,1343192,1343962,771,*,8.7,9.52,6.58,2.94,4.189999999999999e-72,1.1999999999999998e-69,E50h_GM3D_16163,Promoter (<=1kb),4,1344182,1346501,2320,1,AT4G03050,-220
3,16446104,16447538,1435,*,9.75,8.24,10.47,-2.23,4.369999999999999e-72,1.2299999999999999e-69,E50h_GM3D_14097,Promoter (1-2kb),3,16446975,16448764,1790,2,AT3G44990,1226
3,3203407,3204271,865,*,9.35,10.08,7.8,2.29,6.999999999999999e-72,1.9499999999999996e-69,E50h_GM3D_11758,Promoter (<=1kb),3,3204013,3208022,4010,1,AT3G10340,0
1,26344312,26344964,653,*,8.68,9.54,6.3,3.24,5.869999999999999e-71,1.6199999999999996e-68,E50h_GM3D_5663,Promoter (<=1kb),1,26343369,26345058,1690,2,AT1G69940,94
3,4301240,4302196,957,*,8.63,9.49,6.17,3.33,6.0899999999999995e-71,1.6599999999999997e-68,E50h_GM3D_12014,Promoter (1-2kb),3,4303874,4310213,6340,1,AT3G13300,-1678
3,6393622,6395559,1938,*,10.23,10.85,9.11,1.73,8.84e-71,2.3899999999999993e-68,E50h_GM3D_12561,Promoter (<=1kb),3,6393910,6394785,876,1,AT3G18560,0
2,11897541,11899223,1683,*,9.43,10.17,7.8,2.37,1.0099999999999998e-70,2.6999999999999993e-68,E50h_GM3D_8892,Promoter (<=1kb),2,11897942,11898867,926,1,AT2G27940,0
4,9324253,9325579,1327,*,8.71,9.53,6.67,2.86,5.0799999999999994e-70,1.33e-67,E50h_GM3D_17374,Promoter (<=1kb),4,9318442,9324254,5813,2,AT4G16550,0
5,23894361,23895428,1068,*,9.51,10.24,7.97,2.28,5.0899999999999995e-70,1.33e-67,E50h_GM3D_24840,Promoter (<=1kb),5,23890606,23893665,3060,2,AT5G59210,-696
1,20504355,20505531,1177,*,9.29,10.06,7.52,2.54,6.77e-70,1.76e-67,E50h_GM3D_4231,Promoter (<=1kb),1,20505000,20506488,1489,1,AT1G54970,0
3,2843775,2844787,1013,*,9.11,7.08,9.92,-2.84,9.869999999999998e-70,2.53e-67,E50h_GM3D_11668,Promoter (<=1kb),3,2840477,2843781,3305,2,AT3G09260,0
5,19947171,19947842,672,*,8.38,9.25,5.88,3.37,1.1399999999999998e-69,2.8999999999999997e-67,E50h_GM3D_23780,Promoter (<=1kb),5,19943282,19947189,3908,2,AT5G49190,0
5,2368467,2369795,1329,*,9.46,10.19,7.92,2.27,1.7299999999999996e-69,4.3599999999999996e-67,E50h_GM3D_20349,Promoter (<=1kb),5,2370136,2371326,1191,1,AT5G07490,-341
2,14633850,14634809,960,*,8.37,9.24,5.85,3.39,2.6699999999999997e-69,6.649999999999999e-67,E50h_GM3D_9619,Promoter (<=1kb),2,14634134,14635627,1494,2,AT2G34700,818
2,6492751,6494070,1320,*,8.59,9.44,6.25,3.19,3.4799999999999994e-69,8.589999999999999e-67,E50h_GM3D_7553,Promoter (<=1kb),2,6491434,6493352,1919,2,AT2G15020,0
1,9065088,9067282,2195,*,9.89,10.59,8.48,2.11,5.43e-69,1.3299999999999999e-66,E50h_GM3D_2212,Promoter (<=1kb),1,9067039,9068207,1169,1,AT1G26210,0
3,7651261,7653015,1755,*,9.75,8.47,10.42,-1.95,8.929999999999999e-69,2.1599999999999996e-66,E50h_GM3D_12849,Promoter (2-3kb),3,7648342,7649799,1458,1,AT3G21710,2919
5,13612310,13613331,1022,*,8.68,6.64,9.5,-2.86,3.5999999999999993e-68,8.639999999999998e-66,E50h_GM3D_22374,Promoter (<=1kb),5,13611798,13611932,135,1,AT5G35407,512
4,13417146,13418361,1216,*,9.41,10.17,7.75,2.42,4.199999999999999e-68,9.98e-66,E50h_GM3D_18394,Promoter (<=1kb),4,13413973,13417055,3083,2,AT4G26590,-91
5,18505088,18508194,3107,*,11.11,11.71,10.09,1.61,5.759999999999999e-68,1.3599999999999998e-65,E50h_GM3D_23396,Promoter (<=1kb),5,18505809,18506323,515,2,AT5G45630,0
2,539443,541327,1885,*,9.95,10.59,8.76,1.83,6.039999999999999e-68,1.4099999999999999e-65,E50h_GM3D_6871,Promoter (<=1kb),2,539999,540634,636,1,AT2G02130,0
2,15316712,15317948,1237,*,9.19,9.95,7.45,2.5,3.3999999999999994e-67,7.859999999999998e-65,E50h_GM3D_9804,Promoter (<=1kb),2,15318028,15320152,2125,1,AT2G36500,-80
5,270517,272831,2315,*,11.23,11.8,10.27,1.53,4e-67,9.17e-65,E50h_GM3D_19819,Promoter (<=1kb),5,272839,276426,3588,1,AT5G01732,-8
4,14086773,14087710,938,*,9.34,10.13,7.47,2.66,4.8299999999999996e-67,1.0999999999999998e-64,E50h_GM3D_18557,Promoter (<=1kb),4,14084749,14086844,2096,2,AT4G28510,0
4,15816997,15818319,1323,*,10.48,11.06,9.48,1.58,9.279999999999999e-67,2.0899999999999998e-64,E50h_GM3D_18996,Promoter (1-2kb),4,15819524,15820871,1348,1,AT4G32800,-1205
1,8856326,8857293,968,*,9.25,9.99,7.62,2.37,1.1799999999999997e-66,2.6299999999999997e-64,E50h_GM3D_2150,Promoter (<=1kb),1,8857726,8859909,2184,1,AT1G25270,-433
1,1244081,1244986,906,*,9.08,9.83,7.44,2.39,2.9999999999999997e-66,6.65e-64,E50h_GM3D_322,Promoter (<=1kb),1,1244947,1246059,1113,1,AT1G04560,0
3,2308406,2309790,1385,*,10.73,11.35,9.61,1.73,3.259999999999999e-66,7.149999999999999e-64,E50h_GM3D_11544,Promoter (<=1kb),3,2309704,2310788,1085,1,AT3G07260,0
5,17654013,17654735,723,*,9.23,9.96,7.67,2.28,4.2499999999999993e-66,9.239999999999999e-64,E50h_GM3D_23201,Downstream (2-3kb),5,17648857,17650131,1275,2,AT5G43890,-3882
1,27537403,27538300,898,*,8.38,9.26,5.83,3.43,4.409999999999999e-66,9.499999999999999e-64,E50h_GM3D_5994,Promoter (<=1kb),1,27538276,27540235,1960,1,AT1G73220,0
3,2407416,2409382,1967,*,9.84,10.49,8.62,1.87,1.2899999999999998e-65,2.7699999999999996e-63,E50h_GM3D_11574,Promoter (<=1kb),3,2404509,2407541,3033,2,AT3G07540,0
4,8441634,8442758,1125,*,9.27,9.99,7.76,2.24,1.5299999999999997e-65,3.239999999999999e-63,E50h_GM3D_17159,Promoter (1-2kb),4,8439899,8440839,941,1,AT4G14723,1735
4,14396429,14398002,1574,*,9.92,10.57,8.73,1.84,2.2699999999999996e-65,4.769999999999999e-63,E50h_GM3D_18647,Promoter (2-3kb),4,14398054,14400198,2145,2,AT4G29200,2196
4,13127900,13128953,1054,*,9.87,10.55,8.52,2.03,2.3199999999999997e-65,4.849999999999999e-63,E50h_GM3D_18321,Promoter (<=1kb),4,13128643,13129884,1242,1,AT4G25810,0
5,19314618,19315180,563,*,8.61,9.46,6.25,3.2,2.6799999999999997e-65,5.519999999999999e-63,E50h_GM3D_23625,Promoter (<=1kb),5,19315023,19316169,1147,1,AT5G47670,0
5,5947617,5948938,1322,*,8.83,9.62,6.94,2.69,2.6899999999999996e-65,5.519999999999999e-63,E50h_GM3D_21228,Promoter (<=1kb),5,5945665,5947464,1800,2,AT5G17960,-153
4,6364562,6365776,1215,*,9.18,9.91,7.6,2.31,4.23e-65,8.619999999999998e-63,E50h_GM3D_16634,Promoter (<=1kb),4,6366261,6367185,925,1,AT4G10230,-485
4,10280012,10280972,961,*,9.07,9.84,7.33,2.51,5.229999999999999e-65,1.0599999999999999e-62,E50h_GM3D_17622,Promoter (<=1kb),4,10281033,10281740,708,1,AT4G18680,-61
1,27521577,27522361,785,*,8.32,9.2,5.69,3.51,5.949999999999999e-65,1.1899999999999998e-62,E50h_GM3D_5987,Promoter (<=1kb),1,27521944,27523332,1389,1,AT1G73190,0
5,21052918,21053956,1039,*,9.04,9.81,7.27,2.54,7.399999999999999e-65,1.4699999999999997e-62,E50h_GM3D_24048,Promoter (2-3kb),5,21055188,21056808,1621,2,AT5G51810,2852
1,29483335,29484456,1122,*,9.13,9.87,7.54,2.33,7.579999999999999e-65,1.4999999999999998e-62,E50h_GM3D_6504,Promoter (<=1kb),1,29482070,29482966,897,2,AT1G78360,-369
2,16126484,16127291,808,*,9.18,9.91,7.62,2.29,2.9499999999999996e-64,5.789999999999999e-62,E50h_GM3D_10038,Promoter (<=1kb),2,16125919,16126578,660,1,AT2G38520,565
5,25014573,25016331,1759,*,9.28,7.77,10.01,-2.24,4.019999999999999e-64,7.819999999999998e-62,E50h_GM3D_25123,Promoter (<=1kb),5,25017073,25018246,1174,1,AT5G62280,-742
5,530041,531809,1769,*,9.67,8.31,10.36,-2.05,4.3299999999999995e-64,8.359999999999998e-62,E50h_GM3D_19886,Promoter (<=1kb),5,530822,530895,74,1,AT5G02435,0
3,14334654,14335544,891,*,8.16,9.04,5.52,3.52,1.0399999999999997e-63,1.9999999999999997e-61,E50h_GM3D_13896,Distal Intergenic,3,14338697,14344357,5661,1,AT3G42178,-3153
2,10297636,10298845,1210,*,9.23,9.95,7.74,2.21,1.8399999999999996e-63,3.4999999999999996e-61,E50h_GM3D_8488,Promoter (1-2kb),2,10300115,10301787,1673,1,AT2G24220,-1270
1,20042175,20042942,768,*,8.12,9.03,5.15,3.88,2.1799999999999995e-63,4.1099999999999996e-61,E50h_GM3D_4114,Promoter (<=1kb),1,20042640,20043344,705,2,AT1G53690,402
3,20353917,20354488,572,*,9.28,10.01,7.76,2.25,2.5199999999999995e-63,4.7199999999999996e-61,E50h_GM3D_15051,Promoter (<=1kb),3,20354351,20356318,1968,1,AT3G54940,0
5,9493921,9495028,1108,*,9.66,8.37,10.33,-1.96,2.6699999999999995e-63,4.9699999999999996e-61,E50h_GM3D_22104,Promoter (2-3kb),5,9491072,9493920,2849,1,AT5G26990,2849
